index,ground_truth,google_transcript,google_time,google_wer,google_fluency_score,whisper_transcript,whisper_time,whisper_wer,whisper_fluency_score
1,What is your name,what is your name,6.03,0,,What is your name?,12.19,0.25,
2,What is Ohm's law,what is Ohm's law,1.02,0,,What is Ohum's Law?,7.94,0.5,
3,Define photosynthesis,define photosynthesis,1.18,0,,Define photosynthesis,8.83,0,
4,Explain polymorphism in programming,explain polymorphism in programming,1.92,0,,Explain polymorphism in programming.,7.19,0.25,
5,What is Newton's first law,what is Newton's first law,1.14,0,,What is Newton's first law?,6.99,0.2,
6,What is voltage,what is voltage,1.08,0,,What is voltage?,6.44,0.333,
7,What is current,what is current,2.08,0,,What is current?,6.44,0.333,
8,Convert 5 kilometers to meters,convert 5 km to metres,1.29,0.4,,Convert 5 kilometers 2 meters,7.19,0.2,
9,What is the chemical formula of water,what is chemical formula of water,11.85,0.143,,What is chemical formula of water?,6.65,0.286,
10,Who discovered penicillin,who discovered penicillin,2.64,0,,Who discovered penicillin?,50.65,0.333,
11,What is an integer,what is an integer,1.01,0,,What is an integer?,6.83,0.25,
12,How do plants get energy,how do plants get energy,1.29,0,,How do plants get energy?,6.81,0.2,
13,What is the capital of India,what is the capital of India,1.35,0,,What is the capital of India?,6.93,0.167,
14,What is acceleration,what is acceleration,1.5,0,,What is acceleration?,6.65,0.333,
15,What is kinetic energy,what is kinetic energy,1.46,0,,What is kinetic energy?,6.86,0.25,
16,Explain Ohm's law with example,explain Ohm's law with an example,1.25,0.2,,Explain Ohm's law with an example.,7.06,0.4,
17,What is resistance,what is Resistance,1.23,0,,What is resistance?,6.96,0.333,
18,Define force,define force,0.82,0,,Define force,6.68,0,
19,What is pH,what is pH,1.23,0,,What is pH?,6.71,0.333,
20,What is an atom,what is an atom,4.59,0,,What is an atom?,6.4,0.25,
21,What is a polymer,what is a polymer,1.35,0,,What is a polymath?,7.15,0.25,
22,What is velocity,what is velocity,1.01,0,,What is velocity?,6.87,0.333,
23,What is Newton's second law,what is Newton's second law,26.34,0,,What is Newton's second law?,7.8,0.2,
24,What is friction,what is friction,1.14,0,,What is friction?,6.78,0.333,
25,What is mass,what is mass,1.36,0,,What is masks?,6.84,0.333,
26,What is density,what is density,1.04,0,,What is density?,6.74,0.333,
27,What is power in physics,What is power in Physics,1.3,0,,What is power in physics?,6.83,0.2,
28,Define entropy,define entropy,1.08,0,,Define Entropy,7,0,
29,Explain conservation of energy,explain conservation of energy,0.93,0,,अavirus,53.27,1,
30,What is gravitational force,what is gravitational force,1.38,0,,What is gravitational force?,6.86,0.25,
